texto_original,texto_limpio,estado_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,id_as400,division,esquema,clave_original,fecha_proceso
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,0,DES,DDS,1,2025-05-28 10:43:15
BAJA CALIFORNIA,BAJA CALIFORNIA,BAJA CALIFORNIA,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,1,DES,DDS,2,2025-05-28 10:43:15
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,2,DES,DDS,3,2025-05-28 10:43:15
DISTRITO FEDERAL,DISTRITO FEDERAL,CIUDAD DE MÉXICO,EXACTO,1.0,Equivalencia: DISTRITO FEDERAL → CIUDAD DE MÉXICO,False,EXACTO,3,DES,DDS,9,2025-05-28 10:43:15
EDO DE MEXICO,EDO DE MEXICO,ESTADO DE MEXICO,FUZZY_ALTO,0.9,Fuzzy match: 'EDO DE MEXICO' ≈ 'ESTADO DE MEXICO' (90%),False,CONFIABLE,4,DES,DDS,15,2025-05-28 10:43:15
MICHOACAN,MICHOACAN,MICHOACÁN DE OCAMPO,EXACTO,1.0,Equivalencia: MICHOACAN → MICHOACÁN DE OCAMPO,False,EXACTO,5,DES,DDS,16,2025-05-28 10:43:15
NUEVO LEON,NUEVO LEON,NUEVO LEÓN,EXACTO,1.0,Equivalencia: NUEVO LEON → NUEVO LEÓN,False,EXACTO,6,DES,DDS,19,2025-05-28 10:43:15
