texto_original,texto_limpio,estado_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,id_as400,division,esquema,clave_original,fecha_proceso
AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,0,DES,DB2,AGS,2025-05-28 10:43:15
BAJA CALIFORNIA,BAJA CALIFORNIA,BAJA CALIFORNIA,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,1,DES,DB2,BC,2025-05-28 10:43:15
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,2,DES,DB2,BCS,2025-05-28 10:43:15
D.F.,D F,,NINGUNO,0.0,No se encontró coincidencia con ningún método,True,SIN_MATCH,3,DES,DB2,DF,2025-05-28 10:43:15
ESTADO DE MEXICO,ESTADO DE MEXICO,MÉXICO,EXACTO,1.0,Equivalencia: ESTADO DE MEXICO → MÉXICO,False,EXACTO,4,DES,DB2,MEX,2025-05-28 10:43:15
MICHOACAN DE OCAMPO,MICHOACAN DE OCAMPO,MICHOACAN DE OCAMPO,EXACTO,1.0,Match exacto con SEPOMEX,False,EXACTO,5,DES,DB2,MICH,2025-05-28 10:43:15
NUEVO LEON,NUEVO LEON,NUEVO LEÓN,EXACTO,1.0,Equivalencia: NUEVO LEON → NUEVO LEÓN,False,EXACTO,6,DES,DB2,NL,2025-05-28 10:43:15
